,server,hour,application,success,error
361,fsm-backend-prod-579b7846b9-tbgf4,21,45320,0,0
362,fsm-backend-prod-579b7846b9-9kt4p,21,53723,0,0
363,cert-manager-cainjector-658b6dbf77-8t625,21,4,0,0
364,fsm-frontend-prod-c97f7b8c6-c2t4j,21,1210,0,0
365,learnbuddy-backend-prod-5969b7c99c-8vztk,21,1807,109,26
366,runner-gitlab-runner-6bf97bb9b9-7q8hq,21,4,0,0
367,fsm-frontend-prod-c97f7b8c6-fklwx,21,1212,0,0
368,fsm-backend-prod-579b7846b9-88vqc,21,57872,0,0
369,learnbuddy-backend-prod-5969b7c99c-ndw68,22,212,12,0
370,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,22,322,0,0
371,fsm-frontend-prod-c97f7b8c6-c2t4j,22,998,0,0
372,fsm-backend-cron-prod-6bd6459455-sl24t,22,48412,0,0
373,fsm-frontend-prod-c97f7b8c6-fklwx,22,996,0,0
374,fsm-backend-prod-579b7846b9-tbgf4,22,57982,0,0
375,fsm-backend-prod-579b7846b9-88vqc,22,59057,0,0
376,learnbuddy-frontend-prod-5bfc5cdd8f-hxsc8,22,84,0,0
377,learnbuddy-backend-stg-75587bf7c-r7529,22,598,100,0
378,cert-manager-5695c78d49-q9s9j,22,1364,0,0
379,learnbuddy-backend-prod-5969b7c99c-8vztk,22,1233,123,1
380,nginx-ingress-controller-5b6697898-zqxl4,22,7235,0,0
381,cert-manager-cainjector-658b6dbf77-8t625,22,24,0,0
382,centralized-user-prod-78bc9f7b96-txbcl,22,169,0,0
383,nginx-ingress-controller-5b6697898-7wjsr,22,6829,0,0
384,fsm-backend-prod-579b7846b9-9kt4p,22,62578,0,0
385,cert-manager-5695c78d49-q9s9j,23,1365,0,0
386,learnbuddy-backend-prod-5969b7c99c-g9g8s,23,100,0,0
387,cert-manager-cainjector-658b6dbf77-8t625,23,26,0,0
388,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,23,319,0,1
389,nginx-ingress-controller-5b6697898-7wjsr,23,3752,0,0
390,nginx-ingress-controller-5b6697898-zqxl4,23,3693,0,0
391,fsm-frontend-prod-c97f7b8c6-r5mnt,23,54,0,0
392,fsm-frontend-prod-c97f7b8c6-c2t4j,23,612,0,2
393,fsm-frontend-prod-c97f7b8c6-fklwx,23,621,0,1
394,learnbuddy-backend-stg-75587bf7c-r7529,23,596,100,0
395,fsm-backend-prod-579b7846b9-tbgf4,23,25053,0,0
396,learnbuddy-frontend-prod-5bfc5cdd8f-hxsc8,23,194,0,0
397,runner-gitlab-runner-6bf97bb9b9-7q8hq,23,4,0,0
